"install_week","country","platform","avg_d1","avg_d7","avg_d14"
"2019-07-29","Asgard","android",42.79,20.85,14.55
"2019-07-29","Asgard","ios",38.15,24.55,19.91
"2019-07-29","Gargantua","android",49.94,27.61,20.6
"2019-07-29","Gargantua","ios",51.17,26.11,24.31
"2019-07-29","Gotham","android",44.04,22.58,17.63
"2019-07-29","Gotham","ios",46.13,23.61,18.79
"2019-07-29","Krypton","android",43.64,27.76,21.88
"2019-07-29","Krypton","ios",52.42,23.57,18.24
"2019-07-29","Mordor","android",45.83,27.02,20.58
"2019-07-29","Mordor","ios",52.29,26.58,22.82
"2019-07-29","Tatooine","android",54.34,28.89,23.82
"2019-07-29","Tatooine","ios",56.37,33.49,26.73
"2019-08-05","Asgard","android",37.33,17.59,13.44
"2019-08-05","Asgard","ios",40.94,20.97,15.34
"2019-08-05","Gargantua","android",47.33,24.94,20.64
"2019-08-05","Gargantua","ios",48.17,24.98,20.04
"2019-08-05","Gotham","android",47.51,24.02,21.28
"2019-08-05","Gotham","ios",45.28,22.12,17.29
"2019-08-05","Krypton","android",50.95,30.96,22.12
"2019-08-05","Krypton","ios",53.56,26.84,18.09
"2019-08-05","Mordor","android",47.04,26.71,22.65
"2019-08-05","Mordor","ios",50.8,27.04,23.47
"2019-08-05","Tatooine","android",50.08,28.52,23.57
"2019-08-05","Tatooine","ios",51.31,28.04,24.02
"2019-08-12","Asgard","android",35.01,17.61,12.9
"2019-08-12","Asgard","ios",36.55,21.18,15.69
"2019-08-12","Gargantua","android",43.82,22.93,18.09
"2019-08-12","Gargantua","ios",47.57,25.1,19.81
"2019-08-12","Gotham","android",43.16,20.63,17.21
"2019-08-12","Gotham","ios",43.2,19.99,16.45
"2019-08-12","Krypton","android",43.33,23.79,19.7
"2019-08-12","Krypton","ios",48.78,24.49,21.25
"2019-08-12","Mordor","android",46.73,25.36,18.77
"2019-08-12","Mordor","ios",47.67,25.24,21.17
"2019-08-12","Tatooine","android",47.57,27.41,22.6
"2019-08-12","Tatooine","ios",49.41,29.37,23.87
"2019-08-19","Asgard","android",32.26,13.29,9.72
"2019-08-19","Asgard","ios",37.37,17.26,14.85
"2019-08-19","Gargantua","android",41.9,21.04,17
"2019-08-19","Gargantua","ios",45.78,24.13,19.13
"2019-08-19","Gotham","android",38.5,18.48,14.7
"2019-08-19","Gotham","ios",39.87,19.74,16.27
"2019-08-19","Krypton","android",45.22,23.35,18.43
"2019-08-19","Krypton","ios",46.36,24.24,19.03
"2019-08-19","Mordor","android",39.97,19.18,15.64
"2019-08-19","Mordor","ios",46.35,25.21,20.33
"2019-08-19","Tatooine","android",43.87,23.56,19.14
"2019-08-19","Tatooine","ios",48.14,27.55,23.43
"2019-08-26","Asgard","android",33.07,17.43,13.02
"2019-08-26","Asgard","ios",36.74,20.49,16.89
"2019-08-26","Gargantua","android",41.63,21.49,17.19
"2019-08-26","Gargantua","ios",43.86,23.15,19.61
"2019-08-26","Gotham","android",37.43,17.88,14.29
"2019-08-26","Gotham","ios",44.2,21.83,18.29
"2019-08-26","Krypton","android",42.3,22.44,18.14
"2019-08-26","Krypton","ios",47.75,26.42,23.12
"2019-08-26","Mordor","android",38.41,21.48,16.27
"2019-08-26","Mordor","ios",43.7,24.55,21.34
"2019-08-26","Tatooine","android",42.83,24.44,20.07
"2019-08-26","Tatooine","ios",46.9,27.4,22.79
"2019-09-02","Asgard","android",32.87,16.28,
"2019-09-02","Asgard","ios",41.46,24.66,
"2019-09-02","Gargantua","android",42.12,23.86,
"2019-09-02","Gargantua","ios",44.87,25.17,
"2019-09-02","Gotham","android",36.42,18.17,
"2019-09-02","Gotham","ios",41.12,21.19,
"2019-09-02","Krypton","android",40.71,22.56,
"2019-09-02","Krypton","ios",45.17,26.28,
"2019-09-02","Mordor","android",40.71,21.68,
"2019-09-02","Mordor","ios",44.19,25.59,
"2019-09-02","Tatooine","android",44.29,24.87,
"2019-09-02","Tatooine","ios",48.15,28.39,
"2019-09-09","Asgard","android",36.27,,
"2019-09-09","Asgard","ios",48.41,,
"2019-09-09","Gargantua","android",43.18,,
"2019-09-09","Gargantua","ios",45.8,,
"2019-09-09","Gotham","android",37.94,,
"2019-09-09","Gotham","ios",43.1,,
"2019-09-09","Krypton","android",43.33,,
"2019-09-09","Krypton","ios",46.19,,
"2019-09-09","Mordor","android",41.46,,
"2019-09-09","Mordor","ios",43.15,,
"2019-09-09","Tatooine","android",41.86,,
"2019-09-09","Tatooine","ios",46.59,,
