day,platform,network,n,passes,pass_rate
7,android,Paid Network 1,142,5,0.035211267605633804
7,android,Paid Network 3,38,2,0.05263157894736842
7,android,Paid Network 4,43,0,0.0
7,android,Paid Network 5,9,2,0.2222222222222222
7,android,Paid Network 6,125,14,0.112
7,ios,Paid Network 1,133,2,0.015037593984962405
7,ios,Paid Network 2,1,0,0.0
7,ios,Paid Network 3,34,2,0.058823529411764705
7,ios,Paid Network 4,32,1,0.03125
7,ios,Paid Network 5,10,2,0.2
7,ios,Paid Network 6,133,11,0.08270676691729323
30,android,Paid Network 1,20,1,0.05
30,android,Paid Network 3,5,3,0.6
30,android,Paid Network 4,4,0,0.0
30,android,Paid Network 6,24,4,0.16666666666666666
30,ios,Paid Network 1,17,1,0.058823529411764705
30,ios,Paid Network 4,9,1,0.1111111111111111
30,ios,Paid Network 5,2,0,0.0
30,ios,Paid Network 6,26,3,0.11538461538461539
