"table_name","column_name","total_rows","null_count","non_null_count","distinct_non_null","duplicates_non_null","is_unique_ignoring_nulls","is_unique_including_nulls"
"dataset_sl_cost","cost",2571,0,2571,1697,874,FALSE,FALSE
"dataset_sl_cost","country",2571,0,2571,6,2565,FALSE,FALSE
"dataset_sl_cost","date",2571,0,2571,46,2525,FALSE,FALSE
"dataset_sl_cost","mapped_platform",2571,0,2571,3,2568,FALSE,FALSE
"dataset_sl_cost","network",2571,0,2571,6,2565,FALSE,FALSE
"dataset_sl_econ_spend_hc","amount",1647160,0,1647160,176,1646984,FALSE,FALSE
"dataset_sl_econ_spend_hc","app_version",1647160,0,1647160,3,1647157,FALSE,FALSE
"dataset_sl_econ_spend_hc","chalice_amount",1647160,0,1647160,12,1647148,FALSE,FALSE
"dataset_sl_econ_spend_hc","dt",1647160,0,1647160,46,1647114,FALSE,FALSE
"dataset_sl_econ_spend_hc","event_timestamp",1647160,0,1647160,1253729,393431,FALSE,FALSE
"dataset_sl_econ_spend_hc","gem_amount",1647160,0,1647160,50477,1596683,FALSE,FALSE
"dataset_sl_econ_spend_hc","gold_amount",1647160,0,1647160,4814,1642346,FALSE,FALSE
"dataset_sl_econ_spend_hc","level",1647160,0,1647160,147,1647013,FALSE,FALSE
"dataset_sl_econ_spend_hc","platform",1647160,0,1647160,2,1647158,FALSE,FALSE
"dataset_sl_econ_spend_hc","s_index",1647160,0,1647160,468,1646692,FALSE,FALSE
"dataset_sl_econ_spend_hc","s_time",1647160,0,1647160,21509,1625651,FALSE,FALSE
"dataset_sl_econ_spend_hc","stone_amount",1647160,0,1647160,3631,1643529,FALSE,FALSE
"dataset_sl_econ_spend_hc","type",1647160,0,1647160,4,1647156,FALSE,FALSE
"dataset_sl_econ_spend_hc","uid",1647160,0,1647160,127088,1520072,FALSE,FALSE
"dataset_sl_endgame","app_version",8279229,0,8279229,3,8279226,FALSE,FALSE
"dataset_sl_endgame","chalice_amount",8279229,0,8279229,18,8279211,FALSE,FALSE
"dataset_sl_endgame","coin_earned",8279229,0,8279229,596,8278633,FALSE,FALSE
"dataset_sl_endgame","dt",8279229,0,8279229,47,8279182,FALSE,FALSE
"dataset_sl_endgame","duration",8279229,0,8279229,6008198,2271031,FALSE,FALSE
"dataset_sl_endgame","event_timestamp",8279229,0,8279229,3114820,5164409,FALSE,FALSE
"dataset_sl_endgame","gem_amount",8279229,0,8279229,9395,8269834,FALSE,FALSE
"dataset_sl_endgame","gem_earned",8279229,0,8279229,73,8279156,FALSE,FALSE
"dataset_sl_endgame","gold_amount",8279229,0,8279229,4397,8274832,FALSE,FALSE
"dataset_sl_endgame","level",8279229,0,8279229,148,8279081,FALSE,FALSE
"dataset_sl_endgame","level_index",8279229,0,8279229,342,8278887,FALSE,FALSE
"dataset_sl_endgame","merge_count",8279229,0,8279229,1481,8277748,FALSE,FALSE
"dataset_sl_endgame","moves_count",8279229,0,8279229,3328,8275901,FALSE,FALSE
"dataset_sl_endgame","platform",8279229,0,8279229,2,8279227,FALSE,FALSE
"dataset_sl_endgame","score",8279229,0,8279229,677621,7601608,FALSE,FALSE
"dataset_sl_endgame","s_index",8279229,0,8279229,691,8278538,FALSE,FALSE
"dataset_sl_endgame","s_time",8279229,0,8279229,30931,8248298,FALSE,FALSE
"dataset_sl_endgame","stone_amount",8279229,0,8279229,4172,8275057,FALSE,FALSE
"dataset_sl_endgame","type",8279229,0,8279229,5,8279224,FALSE,FALSE
"dataset_sl_endgame","uid",8279229,0,8279229,222554,8056675,FALSE,FALSE
"dataset_sl_install","app_version",230116,0,230116,3,230113,FALSE,FALSE
"dataset_sl_install","country",230116,0,230116,6,230110,FALSE,FALSE
"dataset_sl_install","dt",230116,0,230116,46,230070,FALSE,FALSE
"dataset_sl_install","event_timestamp",230116,0,230116,222011,8105,FALSE,FALSE
"dataset_sl_install","network",230116,0,230116,8,230108,FALSE,FALSE
"dataset_sl_install","platform",230116,0,230116,2,230114,FALSE,FALSE
"dataset_sl_install","uid",230116,0,230116,229019,1097,FALSE,FALSE
"dataset_sl_login","app_version",4158796,0,4158796,3,4158793,FALSE,FALSE
"dataset_sl_login","dt",4158796,0,4158796,47,4158749,FALSE,FALSE
"dataset_sl_login","event_timestamp",4158796,0,4158796,2274434,1884362,FALSE,FALSE
"dataset_sl_login","platform",4158796,0,4158796,2,4158794,FALSE,FALSE
"dataset_sl_login","s_index",4158796,0,4158796,5512,4153284,FALSE,FALSE
"dataset_sl_login","uid",4158796,0,4158796,228653,3930143,FALSE,FALSE
"dataset_sl_revenue","app_version",72510,0,72510,3,72507,FALSE,FALSE
"dataset_sl_revenue","dt",72510,0,72510,46,72464,FALSE,FALSE
"dataset_sl_revenue","event_timestamp",72510,0,72510,71640,870,FALSE,FALSE
"dataset_sl_revenue","platform",72510,0,72510,2,72508,FALSE,FALSE
"dataset_sl_revenue","s_index",72510,0,72510,332,72178,FALSE,FALSE
"dataset_sl_revenue","s_time",72510,0,72510,8233,64277,FALSE,FALSE
"dataset_sl_revenue","uid",72510,0,72510,18767,53743,FALSE,FALSE
"dataset_sl_revenue","usd_revenue",72510,0,72510,2549,69961,FALSE,FALSE
"dataset_sl_startgame","app_version",10351937,0,10351937,3,10351934,FALSE,FALSE
"dataset_sl_startgame","chalice_amount",10351937,0,10351937,18,10351919,FALSE,FALSE
"dataset_sl_startgame","dt",10351937,0,10351937,47,10351890,FALSE,FALSE
"dataset_sl_startgame","event_timestamp",10351937,0,10351937,3277132,7074805,FALSE,FALSE
"dataset_sl_startgame","gem_amount",10351937,0,10351937,11321,10340616,FALSE,FALSE
"dataset_sl_startgame","gold_amount",10351937,10351937,0,0,0,TRUE,FALSE
"dataset_sl_startgame","level",10351937,0,10351937,148,10351789,FALSE,FALSE
"dataset_sl_startgame","level_index",10351937,0,10351937,342,10351595,FALSE,FALSE
"dataset_sl_startgame","platform",10351937,0,10351937,2,10351935,FALSE,FALSE
"dataset_sl_startgame","s_index",10351937,0,10351937,833,10351104,FALSE,FALSE
"dataset_sl_startgame","s_time",10351937,0,10351937,30956,10320981,FALSE,FALSE
"dataset_sl_startgame","stone_amount",10351937,10351937,0,0,0,TRUE,FALSE
"dataset_sl_startgame","type",10351937,0,10351937,2,10351935,FALSE,FALSE
"dataset_sl_startgame","uid",10351937,0,10351937,224956,10126981,FALSE,FALSE
