"install_date","country","platform","d1_retention_pct","d7_retention_pct","d7_to_d1_ratio"
"2019-08-01","Asgard","android",47.73,18.18,0.38
"2019-08-01","Asgard","ios",50,30.77,0.62
"2019-08-01","Gargantua","android",58.47,35.08,0.6
"2019-08-01","Gargantua","ios",55.78,27.14,0.49
"2019-08-01","Gotham","android",48.7,27.98,0.57
"2019-08-01","Gotham","ios",44.21,25.26,0.57
"2019-08-01","Krypton","android",56.25,39.06,0.69
"2019-08-01","Krypton","ios",47.37,28.95,0.61
"2019-08-01","Mordor","android",44.94,22.15,0.49
"2019-08-01","Mordor","ios",51.65,24.18,0.47
"2019-08-01","Tatooine","android",58.12,35.9,0.62
"2019-08-01","Tatooine","ios",55.81,35.47,0.64
"2019-08-02","Asgard","android",35.09,15.79,0.45
"2019-08-02","Asgard","ios",27.78,19.44,0.7
"2019-08-02","Gargantua","android",45.91,29.53,0.64
"2019-08-02","Gargantua","ios",50,27.17,0.54
"2019-08-02","Gotham","android",37.34,17.6,0.47
"2019-08-02","Gotham","ios",48.92,27.34,0.56
"2019-08-02","Krypton","android",43.48,26.09,0.6
"2019-08-02","Krypton","ios",69.77,20.93,0.3
"2019-08-02","Mordor","android",42.22,31.11,0.74
"2019-08-02","Mordor","ios",56.3,29.63,0.53
"2019-08-02","Tatooine","android",61.54,28.85,0.47
"2019-08-02","Tatooine","ios",55,30.56,0.56
"2019-08-03","Asgard","android",46.67,24.44,0.52
"2019-08-03","Asgard","ios",52.94,32.35,0.61
"2019-08-03","Gargantua","android",48.99,22.15,0.45
"2019-08-03","Gargantua","ios",53.51,28.65,0.54
"2019-08-03","Gotham","android",46.93,22.91,0.49
"2019-08-03","Gotham","ios",46.88,22.5,0.48
"2019-08-03","Krypton","android",42,22,0.52
"2019-08-03","Krypton","ios",46.55,22.41,0.48
"2019-08-03","Mordor","android",46.49,25.44,0.55
"2019-08-03","Mordor","ios",52.76,22.09,0.42
"2019-08-03","Tatooine","android",52,24.73,0.48
"2019-08-03","Tatooine","ios",56.04,35.16,0.63
"2019-08-04","Asgard","android",41.67,25,0.6
"2019-08-04","Asgard","ios",21.88,15.63,0.71
"2019-08-04","Gargantua","android",46.38,23.68,0.51
"2019-08-04","Gargantua","ios",45.4,21.47,0.47
"2019-08-04","Gotham","android",43.2,21.84,0.51
"2019-08-04","Gotham","ios",44.52,19.35,0.43
"2019-08-04","Krypton","android",32.84,23.88,0.73
"2019-08-04","Krypton","ios",46,22,0.48
"2019-08-04","Mordor","android",49.65,29.37,0.59
"2019-08-04","Mordor","ios",48.45,30.43,0.63
"2019-08-04","Tatooine","android",45.71,26.07,0.57
"2019-08-04","Tatooine","ios",58.62,32.76,0.56
"2019-08-05","Asgard","android",48.65,16.22,0.33
"2019-08-05","Asgard","ios",58.82,26.47,0.45
"2019-08-05","Gargantua","android",48.75,22.42,0.46
"2019-08-05","Gargantua","ios",51.78,25.89,0.5
"2019-08-05","Gotham","android",46.2,25.32,0.55
"2019-08-05","Gotham","ios",50.74,25.74,0.51
"2019-08-05","Krypton","android",50,27.78,0.56
"2019-08-05","Krypton","ios",57.5,22.5,0.39
"2019-08-05","Mordor","android",59.56,35.29,0.59
"2019-08-05","Mordor","ios",53.4,21.36,0.4
"2019-08-05","Tatooine","android",47.71,27.1,0.57
"2019-08-05","Tatooine","ios",52.32,27.81,0.53
"2019-08-06","Asgard","android",24.14,20.69,0.86
"2019-08-06","Asgard","ios",41.38,20.69,0.5
"2019-08-06","Gargantua","android",49.6,26.98,0.54
"2019-08-06","Gargantua","ios",47.3,25.23,0.53
"2019-08-06","Gotham","android",50,23.86,0.48
"2019-08-06","Gotham","ios",43.14,18.95,0.44
"2019-08-06","Krypton","android",57.14,37.14,0.65
"2019-08-06","Krypton","ios",59.46,40.54,0.68
"2019-08-06","Mordor","android",48.41,25.4,0.52
"2019-08-06","Mordor","ios",47.2,29.6,0.63
"2019-08-06","Tatooine","android",54.98,30.55,0.56
"2019-08-06","Tatooine","ios",47.53,24.07,0.51
"2019-08-07","Asgard","android",42.11,19.3,0.46
"2019-08-07","Asgard","ios",30.77,15.38,0.5
"2019-08-07","Gargantua","android",51.85,27.08,0.52
"2019-08-07","Gargantua","ios",47.95,25.48,0.53
"2019-08-07","Gotham","android",54.84,28.11,0.51
"2019-08-07","Gotham","ios",47.59,25.52,0.54
"2019-08-07","Krypton","android",56.98,31.4,0.55
