"install_date","country","platform","installs_total","d1_returners","d3_returners","d7_returners","d14_returners","d1_retention_pct","d3_retention_pct","d7_retention_pct","d14_retention_pct","eligible_d1","eligible_d3","eligible_d7","eligible_d14"
"2019-08-01","Asgard","android",44,21,16,8,9,47.73,36.36,18.18,20.45,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Asgard","ios",26,13,8,8,7,50,30.77,30.77,26.92,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Gargantua","android",248,145,96,87,62,58.47,38.71,35.08,25,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Gargantua","ios",199,111,70,54,52,55.78,35.18,27.14,26.13,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Gotham","android",193,94,59,54,40,48.7,30.57,27.98,20.73,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Gotham","ios",95,42,31,24,20,44.21,32.63,25.26,21.05,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Krypton","android",64,36,27,25,15,56.25,42.19,39.06,23.44,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Krypton","ios",38,18,8,11,9,47.37,21.05,28.95,23.68,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Mordor","android",158,71,46,35,30,44.94,29.11,22.15,18.99,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Mordor","ios",91,47,36,22,20,51.65,39.56,24.18,21.98,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Tatooine","android",234,136,103,84,72,58.12,44.02,35.9,30.77,TRUE,TRUE,TRUE,TRUE
"2019-08-01","Tatooine","ios",172,96,83,61,45,55.81,48.26,35.47,26.16,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Asgard","android",57,20,17,9,6,35.09,29.82,15.79,10.53,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Asgard","ios",36,10,12,7,6,27.78,33.33,19.44,16.67,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Gargantua","android",342,157,112,101,78,45.91,32.75,29.53,22.81,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Gargantua","ios",184,92,67,50,48,50,36.41,27.17,26.09,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Gotham","android",233,87,56,41,38,37.34,24.03,17.6,16.31,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Gotham","ios",139,68,48,38,31,48.92,34.53,27.34,22.3,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Krypton","android",69,30,24,18,16,43.48,34.78,26.09,23.19,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Krypton","ios",43,30,18,9,9,69.77,41.86,20.93,20.93,TRUE,TRUE,TRUE,TRUE
"2019-08-02","Mordor","android",135,57,50,42,29,42.22,37.04,31.11,21.48,TRUE,TRUE,TRUE,TRUE
