"activity_date","dau","usd_revenue","payers","arpdau","arppu","payer_rate_pct"
"2019-07-31",5,0,0,0,,0
"2019-08-01",1566,121.74953931659194,52,0.0777,2.34,3.32
"2019-08-02",2647,294.0837082981834,110,0.1111,2.67,4.16
"2019-08-03",3266,316.57365681368424,99,0.0969,3.2,3.03
"2019-08-04",3975,285.83893112487436,116,0.0719,2.46,2.92
"2019-08-05",4224,316.38850265394814,124,0.0749,2.55,2.94
"2019-08-06",4850,389.2846260498592,165,0.0803,2.36,3.4
"2019-08-07",5799,533.1867770523899,200,0.0919,2.67,3.45
"2019-08-08",6893,614.8493496245056,240,0.0892,2.56,3.48
"2019-08-09",7866,722.755151622273,264,0.0919,2.74,3.36
"2019-08-10",8637,727.080144413882,264,0.0842,2.75,3.06
"2019-08-11",9381,893.8312289697303,305,0.0953,2.93,3.25
"2019-08-12",10114,958.7275385251496,324,0.0948,2.96,3.2
"2019-08-13",10997,1072.6378515110425,358,0.0975,3,3.26
"2019-08-14",13142,1104.9949757112784,415,0.0841,2.66,3.16
"2019-08-15",16778,1096.2430427689299,590,0.0653,1.86,3.52
"2019-08-16",19111,1861.6921978093228,689,0.0974,2.7,3.61
"2019-08-17",21470,1835.4964384659788,663,0.0855,2.77,3.09
"2019-08-18",23749,2131.9568275606057,704,0.0898,3.03,2.96
"2019-08-19",24209,2468.9138532879597,814,0.102,3.03,3.36
"2019-08-20",25358,2867.4689674992014,939,0.1131,3.05,3.7
"2019-08-21",26396,3138.370455773607,1040,0.1189,3.02,3.94
"2019-08-22",28055,3161.395646985142,993,0.1127,3.18,3.54
"2019-08-23",30653,3400.8794640420297,1098,0.1109,3.1,3.58
"2019-08-24",33220,3653.6938702122475,1236,0.11,2.96,3.72
"2019-08-25",35616,4138.192417884669,1374,0.1162,3.01,3.86
"2019-08-26",35449,3880.5474266246124,1255,0.1095,3.09,3.54
"2019-08-27",36775,4373.985185467517,1408,0.1189,3.11,3.83
"2019-08-28",37731,4628.252260350894,1541,0.1227,3,4.08
"2019-08-29",37688,4604.562873630049,1510,0.1222,3.05,4.01
"2019-08-30",38095,5338.944014651777,1589,0.1401,3.36,4.17
"2019-08-31",38332,4499.583016382729,1423,0.1174,3.16,3.71
"2019-09-01",40018,4836.798228451458,1526,0.1209,3.17,3.81
"2019-09-02",40165,4760.149545690997,1485,0.1185,3.21,3.7
"2019-09-03",39997,4793.932874032281,1518,0.1199,3.16,3.8
"2019-09-04",40271,5502.922687671496,1640,0.1366,3.36,4.07
"2019-09-05",40333,5300.84419897958,1603,0.1314,3.31,3.97
"2019-09-06",40770,4970.775631499206,1503,0.1219,3.31,3.69
"2019-09-07",42940,5004.914760014652,1622,0.1166,3.09,3.78
"2019-09-08",44287,5517.202030979352,1580,0.1246,3.49,3.57
"2019-09-09",42265,5029.606549049782,1479,0.119,3.4,3.5
"2019-09-10",42840,5273.936883074359,1622,0.1231,3.25,3.79
"2019-09-11",43081,5076.744312571106,1511,0.1178,3.36,3.51
"2019-09-12",43025,5875.90141187839,1603,0.1366,3.67,3.73
"2019-09-13",42964,5526.39376676431,1597,0.1286,3.46,3.72
"2019-09-14",43552,7717.479649549611,1742,0.1772,4.43,4
"2019-09-15",45133,6955.534857085503,1623,0.1541,4.29,3.6
