"install_date","country","platform","age_day","installs_total","ltv_usd"
"2019-08-01","Asgard","android",0,44,0.1161
"2019-08-01","Asgard","android",2,44,0.0204
"2019-08-01","Asgard","android",10,44,0.0257
"2019-08-01","Asgard","ios",0,26,0.1428
"2019-08-01","Gargantua","android",0,248,0.0191
"2019-08-01","Gargantua","android",1,248,0.0301
"2019-08-01","Gargantua","android",2,248,0.0462
"2019-08-01","Gargantua","android",3,248,0.0426
"2019-08-01","Gargantua","android",5,248,0.014
"2019-08-01","Gargantua","android",7,248,0.0134
"2019-08-01","Gargantua","android",8,248,0.0134
"2019-08-01","Gargantua","android",9,248,0.017
"2019-08-01","Gargantua","android",14,248,0.017
"2019-08-01","Gargantua","android",15,248,0.0207
"2019-08-01","Gargantua","android",18,248,0.0186
"2019-08-01","Gargantua","android",19,248,0.0067
"2019-08-01","Gargantua","android",27,248,0.0373
"2019-08-01","Gargantua","ios",0,199,0.0033
"2019-08-01","Gargantua","ios",1,199,0.0255
"2019-08-01","Gargantua","ios",2,199,0.0292
"2019-08-01","Gargantua","ios",3,199,0.0046
"2019-08-01","Gargantua","ios",4,199,0.0259
"2019-08-01","Gargantua","ios",6,199,0.0329
"2019-08-01","Gargantua","ios",7,199,0.0083
"2019-08-01","Gargantua","ios",8,199,0.0046
"2019-08-01","Gargantua","ios",10,199,0.0621
"2019-08-01","Gargantua","ios",14,199,0.0212
"2019-08-01","Gargantua","ios",16,199,0.0129
"2019-08-01","Gargantua","ios",18,199,0.0433
"2019-08-01","Gargantua","ios",19,199,0.0058
"2019-08-01","Gargantua","ios",21,199,0.0796
"2019-08-01","Gargantua","ios",22,199,0.0116
"2019-08-01","Gargantua","ios",24,199,0.0491
"2019-08-01","Gargantua","ios",25,199,0.0666
"2019-08-01","Gargantua","ios",26,199,0.0058
"2019-08-01","Gargantua","ios",27,199,0.084
"2019-08-01","Gargantua","ios",28,199,0.0912
"2019-08-01","Gotham","android",0,193,0.0741
"2019-08-01","Gotham","android",1,193,0.0217
"2019-08-01","Gotham","android",2,193,0.0349
"2019-08-01","Gotham","android",3,193,0.077
"2019-08-01","Gotham","android",4,193,0.0415
"2019-08-01","Gotham","android",6,193,0.0613
"2019-08-01","Gotham","android",7,193,0.0915
"2019-08-01","Gotham","android",8,193,0.3159
"2019-08-01","Gotham","android",9,193,0.0038
"2019-08-01","Gotham","android",10,193,0.4154
"2019-08-01","Gotham","android",12,193,0.4107
"2019-08-01","Gotham","android",13,193,0.2331
"2019-08-01","Gotham","android",14,193,0.3361
"2019-08-01","Gotham","android",15,193,0.0306
"2019-08-01","Gotham","android",17,193,0.2317
"2019-08-01","Gotham","android",20,193,0.2364
"2019-08-01","Gotham","android",22,193,0.2686
"2019-08-01","Gotham","android",23,193,0.2761
"2019-08-01","Gotham","android",24,193,0.2959
"2019-08-01","Gotham","android",25,193,0.371
"2019-08-01","Gotham","android",27,193,0.0038
"2019-08-01","Gotham","android",28,193,0.0192
"2019-08-01","Gotham","ios",0,95,0.0477
"2019-08-01","Gotham","ios",1,95,0.2326
"2019-08-01","Gotham","ios",2,95,0.3581
"2019-08-01","Gotham","ios",3,95,0.3927
"2019-08-01","Gotham","ios",4,95,0.0135
"2019-08-01","Gotham","ios",5,95,0.0788
"2019-08-01","Gotham","ios",6,95,0.4735
"2019-08-01","Gotham","ios",7,95,0.0768
"2019-08-01","Gotham","ios",29,95,0.4116
