"variant","dt","dau","usd","arpdau"
"Control_1","2023-10-18",3801,1761.7580384586006,0.4635
"Control_1","2023-10-19",10605,4672.7507028350765,0.4406
"Control_1","2023-10-20",29210,15678.901450609474,0.5368
"Control_1","2023-10-21",54815,36862.88801689192,0.6725
"Control_1","2023-10-22",80770,44237.00455521609,0.5477
"Control_1","2023-10-23",89073,43849.76362172533,0.4923
"Control_1","2023-10-24",91042,44164.099417825484,0.4851
"Control_1","2023-10-25",95299,55160.54843721271,0.5788
"Control_1","2023-10-26",96536,47745.10315242998,0.4946
"Control_1","2023-10-27",100861,64405.39967348137,0.6386
"Control_1","2023-10-28",104878,73074.43514693379,0.6968
"Control_1","2023-10-29",107084,54270.04480467357,0.5068
"Control_1","2023-10-30",105229,48514.654593452426,0.461
"Control_1","2023-10-31",100478,45652.29699054652,0.4544
"Control_1","2023-11-01",102272,43021.57503132218,0.4207
"Control_1","2023-11-02",103928,47086.1093373231,0.4531
"Control_1","2023-11-03",106351,63430.27979473799,0.5964
"Control_1","2023-11-04",110820,74086.56897918331,0.6685
"Control_1","2023-11-05",111938,55405.96189160534,0.495
"Control_1","2023-11-06",108794,46447.17705156758,0.4269
"Control_1","2023-11-07",104564,63564.91368476347,0.6079
"Control_1","2023-11-08",104300,72197.90395064034,0.6922
"Control_1","2023-11-09",103821,46125.940357456115,0.4443
"Control_1","2023-11-10",108550,66859.99527304118,0.6159
"Control_1","2023-11-11",112618,87137.30352773599,0.7737
"Control_1","2023-11-12",113066,55743.32459490085,0.493
"Control_1","2023-11-13",109286,47542.12072052842,0.435
"Control_1","2023-11-14",105071,41307.99803046014,0.3931
"Control_1","2023-11-15",105041,41408.29590589407,0.3942
"Control_1","2023-11-16",104958,44627.46911242238,0.4252
"Control_1","2023-11-17",107492,58001.833370876404,0.5396
"Control_1","2023-11-18",112733,74751.07117193767,0.6631
"Control_1","2023-11-19",113457,54817.673264004865,0.4832
"Control_1","2023-11-20",110222,44103.60269138181,0.4001
"Control_1","2023-11-21",107665,50677.36266221591,0.4707
"Control_1","2023-11-22",110878,70190.5068117702,0.633
"Control_1","2023-11-23",111853,59164.352434699984,0.5289
