"variant","dt","dau","minutes_per_dau","camp_min_per_dau","level_min_per_dau","event_min_per_dau","camp_share","level_share","event_share"
"Control_1","2023-10-18",3793,0.72,0.51,0.21,0,0.705,0.294,0.001
"Control_1","2023-10-19",10609,0.56,0.38,0.18,0,0.67,0.329,0
"Control_1","2023-10-20",29196,0.8,0.3,0.18,0.32,0.379,0.228,0.393
"Control_1","2023-10-21",54814,2.33,0.2,0.15,1.98,0.086,0.065,0.849
"Control_1","2023-10-22",80773,2.45,0.23,0.16,2.06,0.094,0.064,0.842
"Control_1","2023-10-23",89074,1.81,0.26,0.16,1.39,0.142,0.087,0.771
"Control_1","2023-10-24",91040,0.69,0.29,0.17,0.23,0.423,0.244,0.333
"Control_1","2023-10-25",95283,1.9,0.18,0.13,1.6,0.094,0.068,0.838
"Control_1","2023-10-26",96538,2.05,0.19,0.14,1.72,0.094,0.067,0.839
"Control_1","2023-10-27",100852,1.9,0.21,0.13,1.56,0.109,0.07,0.821
"Control_1","2023-10-28",104890,2.25,0.17,0.12,1.96,0.076,0.053,0.87
"Control_1","2023-10-29",107092,2.51,0.21,0.14,2.15,0.085,0.055,0.859
"Control_1","2023-10-30",105241,1.9,0.26,0.15,1.5,0.135,0.077,0.788
"Control_1","2023-10-31",100491,0.53,0.35,0.17,0.01,0.666,0.315,0.019
"Control_1","2023-11-01",102253,0.58,0.43,0.16,0,0.729,0.265,0.005
"Control_1","2023-11-02",103921,0.56,0.4,0.16,0,0.706,0.291,0.003
"Control_1","2023-11-03",106385,0.73,0.29,0.15,0.28,0.406,0.212,0.382
"Control_1","2023-11-04",110832,2.29,0.18,0.12,1.99,0.078,0.051,0.87
"Control_1","2023-11-05",111918,2.53,0.22,0.13,2.18,0.086,0.053,0.862
"Control_1","2023-11-06",108809,1.98,0.26,0.14,1.59,0.13,0.07,0.8
"Control_1","2023-11-07",104597,0.53,0.35,0.17,0.01,0.659,0.321,0.02
"Control_1","2023-11-08",104323,0.54,0.36,0.18,0,0.668,0.328,0.004
"Control_1","2023-11-09",103855,0.53,0.35,0.18,0,0.663,0.335,0.002
