"variant","platform","users","eligible_700p","pct_eligible","reached_700_after_entry"
"Control_1","android",225419,84786,37.61,84786
"Control_1","ios",160421,68385,42.63,68385
"Control_2","android",225203,84518,37.53,84518
"Control_2","ios",160407,69259,43.18,69259
"Control_3","android",226449,85710,37.85,85710
"Control_3","ios",160958,69364,43.09,69364
"LessExpensive","android",225994,85456,37.81,85456
"LessExpensive","ios",160668,69109,43.01,69109
"MoreExpensive","android",226324,85582,37.81,85582
"MoreExpensive","ios",161032,69213,42.98,69213
